id,color_hex,brand,product_line,shade_name,product_type,color_rgb,color_hsl,color_lab_l,color_lab_a,color_lab_b,brightness,saturation,hue_degree,undertone,undertone_confidence,color_depth,color_family,color_family_confidence,finish,finish_confidence,recommended_skin_undertone,recommended_skin_depth,seasonal_palette
becca-dune,#d58971,BECCA,Ultimate Lipstick Love,Dune,lipstick,"{""r"":213,""g"":137,""b"":113}","{""h"":14.4,""s"":54.35,""l"":63.92}",64.3491,26.3814,24.918,64.35,54.35,14.4,warm,0.99,light,rose,0.35,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-sugar,#d18d82,BECCA,Ultimate Lipstick Love,Sugar,lipstick,"{""r"":209,""g"":141,""b"":130}","{""h"":8.35,""s"":46.2,""l"":66.47}",65.1365,24.4998,16.4167,65.14,46.2,8.35,warm,0.99,light,rose,0.5409,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-bare,#e28c7b,BECCA,Ultimate Lipstick Love,Bare,lipstick,"{""r"":226,""g"":140,""b"":123}","{""h"":9.9,""s"":63.98,""l"":68.43}",66.7931,30.8571,22.917,66.79,63.98,9.9,warm,0.99,light,nude,0.4704,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
becca-tawny,#bb6f58,BECCA,Ultimate Lipstick Love,Tawny,lipstick,"{""r"":187,""g"":111,""b"":88}","{""h"":13.94,""s"":42.13,""l"":53.92}",54.7005,27.7162,25.6651,54.7,42.13,13.94,warm,0.99,medium,terracotta,0.99,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
becca-petal,#b9676b,BECCA,Ultimate Lipstick Love,Petal,lipstick,"{""r"":185,""g"":103,""b"":107}","{""h"":357.07,""s"":36.94,""l"":56.47}",53.0357,33.1856,12.3416,53.04,36.94,357.07,warm,0.99,medium,pink,0.45,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",summer
becca-tulip,#e2847a,BECCA,Ultimate Lipstick Love,Tulip,lipstick,"{""r"":226,""g"":132,""b"":122}","{""h"":5.77,""s"":64.2,""l"":68.24}",65.0263,34.9739,21.083,65.03,64.2,5.77,warm,0.99,light,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-sorbet,#ba5f64,BECCA,Ultimate Lipstick Love,Sorbet,lipstick,"{""r"":186,""g"":95,""b"":100}","{""h"":356.7,""s"":39.74,""l"":55.1}",51.3204,37.0584,14.1159,51.32,39.74,356.7,warm,0.99,medium,rose,0.5409,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
becca-dusk,#d28170,BECCA,Ultimate Lipstick Love,Dusk,lipstick,"{""r"":210,""g"":129,""b"":112}","{""h"":10.41,""s"":52.13,""l"":63.14}",62.1474,29.4052,22.4667,62.15,52.13,10.41,warm,0.99,light,rose,0.99,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-mocha,#af584e,BECCA,Ultimate Lipstick Love,Mocha,lipstick,"{""r"":175,""g"":88,""b"":78}","{""h"":6.19,""s"":38.34,""l"":49.61}",47.8108,34.4666,22.1553,47.81,38.34,6.19,warm,0.99,medium,brown,0.45,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
becca-orchid,#ae6167,BECCA,Ultimate Lipstick Love,Orchid,lipstick,"{""r"":174,""g"":97,""b"":103}","{""h"":355.32,""s"":32.22,""l"":53.14}",50.1321,31.7639,10.4242,50.13,32.22,355.32,cool,0.77,medium,plum,0.45,satin,0.5088,"[""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",winter
becca-blush,#d6736d,BECCA,Ultimate Lipstick Love,Blush,lipstick,"{""r"":214,""g"":115,""b"":109}","{""h"":3.43,""s"":56.15,""l"":63.33}",59.5853,38.0465,20.8058,59.59,56.15,3.43,warm,0.99,light,pink,0.5357,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
becca-burgundy,#a44c42,BECCA,Ultimate Lipstick Love,Burgundy,lipstick,"{""r"":164,""g"":76,""b"":66}","{""h"":6.12,""s"":42.61,""l"":45.1}",43.4439,35.5093,23.3093,43.44,42.61,6.12,warm,0.99,medium,wine,0.45,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
becca-mauve,#b85d5c,BECCA,Ultimate Lipstick Love,Mauve,lipstick,"{""r"":184,""g"":93,""b"":92}","{""h"":0.65,""s"":39.32,""l"":54.12}",50.4459,36.5606,17.6138,50.45,39.32,0.65,cool,0.5782,medium,mauve,0.45,satin,0.5088,"[""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",summer
becca-truffle,#c8766b,BECCA,Ultimate Lipstick Love,Truffle,lipstick,"{""r"":200,""g"":118,""b"":107}","{""h"":7.1,""s"":45.81,""l"":60.2}",58.3214,30.9059,19.9247,58.32,45.81,7.1,warm,0.99,light,rose,0.5409,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-chocolate,#6c2416,BECCA,Ultimate Lipstick Love,Chocolate,lipstick,"{""r"":108,""g"":36,""b"":22}","{""h"":9.77,""s"":66.15,""l"":25.49}",25.2869,31.2305,25.9149,25.29,66.15,9.77,warm,0.99,deep,brown,0.4833,satin,0.5088,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",autumn
becca-souffle,#b36660,BECCA,Ultimate Lipstick Love,Souffle,lipstick,"{""r"":179,""g"":102,""b"":96}","{""h"":4.34,""s"":35.32,""l"":53.92}",51.7618,30.2128,16.9271,51.76,35.32,4.34,warm,0.99,medium,rose,0.5409,velvet,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
becca-rosewood,#c1494a,BECCA,Ultimate Lipstick Love,Rosewood,lipstick,"{""r"":193,""g"":73,""b"":74}","{""h"":359.5,""s"":49.18,""l"":52.16}",47.7525,48.1626,25.0056,47.75,49.18,359.5,warm,0.5468,medium,mlbb,0.5648,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
becca-poppy,#e8443b,BECCA,Ultimate Lipstick Love,Poppy,lipstick,"{""r"":232,""g"":68,""b"":59}","{""h"":3.12,""s"":79.0,""l"":57.06}",53.6121,62.1774,42.237,53.61,79.0,3.12,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-blaze,#ff6972,BECCA,Ultimate Lipstick Love,Blaze,lipstick,"{""r"":255,""g"":105,""b"":114}","{""h"":356.4,""s"":100.0,""l"":70.59}",63.8229,57.7607,24.6842,63.82,100.0,356.4,warm,0.99,light,red,0.5167,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
becca-flame,#da1411,BECCA,Ultimate Lipstick Love,Flame,lipstick,"{""r"":218,""g"":20,""b"":17}","{""h"":0.9,""s"":85.53,""l"":46.08}",46.2462,69.3409,54.8023,46.25,85.53,0.9,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-cherry,#b91c23,BECCA,Ultimate Lipstick Love,Cherry,lipstick,"{""r"":185,""g"":28,""b"":35}","{""h"":357.32,""s"":73.71,""l"":41.76}",40.0309,59.4522,38.4738,40.03,73.71,357.32,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-crimson,#c70d10,BECCA,Ultimate Lipstick Love,Crimson,lipstick,"{""r"":199,""g"":13,""b"":16}","{""h"":359.03,""s"":87.74,""l"":41.57}",41.9559,65.312,50.4859,41.96,87.74,359.03,warm,0.99,deep,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-garnet,#ab2325,BECCA,Ultimate Lipstick Love,Garnet,lipstick,"{""r"":171,""g"":35,""b"":37}","{""h"":359.12,""s"":66.02,""l"":40.39}",37.836,53.6464,34.1711,37.84,66.02,359.12,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-scarlet,#aa1e0f,BECCA,Ultimate Lipstick Love,Scarlet,lipstick,"{""r"":170,""g"":30,""b"":15}","{""h"":5.81,""s"":83.78,""l"":36.27}",36.9518,54.19,44.5996,36.95,83.78,5.81,warm,0.99,deep,red,0.7042,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-ruby,#b1152b,BECCA,Ultimate Lipstick Love,Ruby,lipstick,"{""r"":177,""g"":21,""b"":43}","{""h"":351.54,""s"":78.79,""l"":38.82}",37.9516,58.9701,31.075,37.95,78.79,351.54,warm,0.99,deep,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-rouge,#9e382a,BECCA,Ultimate Lipstick Love,Rouge,lipstick,"{""r"":158,""g"":56,""b"":42}","{""h"":7.24,""s"":58.0,""l"":39.22}",38.3172,41.5732,31.0887,38.32,58.0,7.24,warm,0.99,deep,red,0.6833,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-merlot,#7f2527,BECCA,Ultimate Lipstick Love,Merlot,lipstick,"{""r"":127,""g"":37,""b"":39}","{""h"":358.67,""s"":54.88,""l"":32.16}",29.3697,38.7495,20.9362,29.37,54.88,358.67,warm,0.99,deep,wine,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",autumn
becca-ember,#8f1514,BECCA,Ultimate Lipstick Love,Ember,lipstick,"{""r"":143,""g"":21,""b"":20}","{""h"":0.49,""s"":75.46,""l"":31.96}",30.4686,48.5964,34.5808,30.47,75.46,0.49,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
becca-maroon,#69221c,BECCA,Ultimate Lipstick Love,Maroon,lipstick,"{""r"":105,""g"":34,""b"":28}","{""h"":4.68,""s"":57.89,""l"":26.08}",24.4243,31.3531,21.0459,24.42,57.89,4.68,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
besame-1941-victory-red-lipstick,#c21322,Besame,Classic Color,1941 - Victory Red Lipstick,lipstick,"{""r"":194,""g"":19,""b"":34}","{""h"":354.86,""s"":82.16,""l"":41.76}",41.3025,63.5543,40.9051,41.3,82.16,354.86,warm,0.99,deep,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
besame-1946-red-velvet-lipstick,#88192a,Besame,Classic Color,1946 - Red Velvet Lipstick,lipstick,"{""r"":136,""g"":25,""b"":42}","{""h"":350.81,""s"":68.94,""l"":31.57}",29.6593,46.2636,19.745,29.66,68.94,350.81,warm,0.99,deep,red,0.7691,velvet,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
besame-1969-dusty-rose-lipstick,#ba5a65,Besame,Classic Color,1969 - Dusty Rose Lipstick,lipstick,"{""r"":186,""g"":90,""b"":101}","{""h"":353.12,""s"":41.03,""l"":54.12}",50.327,39.7467,12.1421,50.33,41.03,353.12,neutral,0.6944,medium,rose,0.5929,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
besame-1930-noir-red-lipstick,#67322a,Besame,Classic Color,1930 - Noir Red Lipstick,lipstick,"{""r"":103,""g"":50,""b"":42}","{""h"":7.87,""s"":42.07,""l"":28.43}",27.6624,22.8952,15.9484,27.66,42.07,7.87,warm,0.99,deep,red,0.6144,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
besame-1920-besame-red-lipstick,#d73835,Besame,Classic Color,1920 - Besame Red Lipstick,lipstick,"{""r"":215,""g"":56,""b"":53}","{""h"":1.11,""s"":66.94,""l"":52.55}",48.9298,60.8823,39.533,48.93,66.94,1.11,warm,0.99,medium,red,0.99,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
besame-1935-cherry-red-lipstick,#a81f39,Besame,Classic Color,1935 - Cherry Red Lipstick,lipstick,"{""r"":168,""g"":31,""b"":57}","{""h"":348.61,""s"":68.84,""l"":39.02}",37.1201,54.8245,20.8925,37.12,68.84,348.61,warm,0.6808,deep,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
besame-1965-portrait-peach-lipstick,#e39179,Besame,Classic Color,1965 - Portrait Peach Lipstick,lipstick,"{""r"":227,""g"":145,""b"":121}","{""h"":13.58,""s"":65.43,""l"":68.24}",67.9955,28.3905,25.6568,68.0,65.43,13.58,warm,0.99,light,peach,0.4845,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
besame-1933-merlot-lipstick,#8e3024,Besame,Classic Color,1933 - Merlot Lipstick,lipstick,"{""r"":142,""g"":48,""b"":36}","{""h"":6.79,""s"":59.55,""l"":34.9}",33.9701,39.0982,28.9207,33.97,59.55,6.79,warm,0.99,deep,wine,0.6833,satin,0.5088,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",winter
besame-1945-american-beauty-lipstick,#c3224c,Besame,Classic Color,1945 - American Beauty Lipstick,lipstick,"{""r"":195,""g"":34,""b"":76}","{""h"":344.35,""s"":70.31,""l"":44.9}",43.1698,62.6674,17.8545,43.17,70.31,344.35,warm,0.6808,medium,rose,0.99,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
besame-1970-chocolate-kiss-lipstick,#a04f3e,Besame,Classic Color,1970 - Chocolate Kiss Lipstick,lipstick,"{""r"":160,""g"":79,""b"":62}","{""h"":10.41,""s"":44.14,""l"":43.53}",43.3826,32.0426,25.484,43.38,44.14,10.41,warm,0.99,medium,brown,0.4926,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
besame-1952-wild-orchid-lipstick,#83174b,Besame,Classic Color,1952 - Wild Orchid Lipstick,lipstick,"{""r"":131,""g"":23,""b"":75}","{""h"":331.11,""s"":70.13,""l"":30.2}",29.2797,48.0272,-2.9098,29.28,70.13,331.11,cool,0.99,deep,plum,0.99,satin,0.5088,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",winter
besame-1959-red-hot-red-lipstick,#d63e33,Besame,Classic Color,1959 - Red Hot Red Lipstick,lipstick,"{""r"":214,""g"":62,""b"":51}","{""h"":4.05,""s"":66.53,""l"":51.96}",49.4779,58.4087,41.1767,49.48,66.53,4.05,warm,0.99,medium,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
besame-1939-tango-red-lipstick,#d2453e,Besame,Classic Color,1939 - Tango Red Lipstick,lipstick,"{""r"":210,""g"":69,""b"":62}","{""h"":2.84,""s"":62.18,""l"":53.33}",49.8699,54.9109,35.2708,49.87,62.18,2.84,warm,0.99,medium,red,0.99,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
besame-1963-portrait-pink-lipstick,#f897a2,Besame,Classic Color,1963 - Portrait Pink Lipstick,lipstick,"{""r"":248,""g"":151,""b"":162}","{""h"":353.2,""s"":87.39,""l"":78.24}",72.6957,37.6091,9.877,72.7,87.39,353.2,neutral,0.95,fair,pink,0.7389,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium""]",summer
besame-1931-carmine-lipstick,#dc5a36,Besame,Classic Color,1931 - Carmine Lipstick,lipstick,"{""r"":220,""g"":90,""b"":54}","{""h"":13.01,""s"":70.34,""l"":53.73}",54.8646,48.9301,45.6192,54.86,70.34,13.01,warm,0.99,medium,coral,0.5269,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
besame-1925-forever-red-lipstick,#8c1a1a,Besame,Classic Color,1925 - Forever Red Lipstick,lipstick,"{""r"":140,""g"":26,""b"":26}","{""h"":0.0,""s"":68.67,""l"":32.55}",30.3774,46.4792,30.8536,30.38,68.67,0.0,warm,0.99,deep,red,0.7691,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bh-seduction,#331e1b,BH,Color Lock Long Lasting Matte Lipstick,Seduction,lipstick,"{""r"":51,""g"":30,""b"":27}","{""h"":7.5,""s"":30.77,""l"":15.29}",13.8948,9.81,6.3015,13.89,30.77,7.5,neutral,0.99,deep,rose,0.5409,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
bh-crazy-in-love,#ed5e7a,BH,Color Lock Long Lasting Matte Lipstick,Crazy In Love,lipstick,"{""r"":237,""g"":94,""b"":122}","{""h"":348.25,""s"":79.89,""l"":64.9}",59.3613,57.3419,13.5311,59.36,79.89,348.25,warm,0.6808,light,red,0.65,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
bh-devotion,#964444,BH,Color Lock Long Lasting Matte Lipstick,Devotion,lipstick,"{""r"":150,""g"":68,""b"":68}","{""h"":0.0,""s"":37.61,""l"":42.75}",39.6434,34.4367,16.6964,39.64,37.61,0.0,warm,0.99,deep,rose,0.5167,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
bh-faithful,#b37077,BH,Color Lock Long Lasting Matte Lipstick,Faithful,lipstick,"{""r"":179,""g"":112,""b"":119}","{""h"":353.73,""s"":30.59,""l"":57.06}",54.5598,27.4243,7.3369,54.56,30.59,353.73,neutral,0.99,medium,rose,0.5198,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",summer
bh-passionate,#7e2692,BH,Color Lock Long Lasting Matte Lipstick,Passionate,lipstick,"{""r"":126,""g"":38,""b"":146}","{""h"":288.89,""s"":58.7,""l"":36.08}",33.7693,52.5498,-41.2982,33.77,58.7,288.89,cool,0.99,deep,plum,0.99,matte,0.99,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",winter
bh-rapture,#5c2431,BH,Color Lock Long Lasting Matte Lipstick,Rapture,lipstick,"{""r"":92,""g"":36,""b"":49}","{""h"":346.07,""s"":43.75,""l"":25.1}",22.8596,27.0528,4.4176,22.86,43.75,346.07,cool,0.7,deep,rose,0.4669,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
bh-blissful,#6e364f,BH,Color Lock Long Lasting Matte Lipstick,Blissful,lipstick,"{""r"":110,""g"":54,""b"":79}","{""h"":333.21,""s"":34.15,""l"":32.16}",30.6849,28.021,-3.8697,30.68,34.15,333.21,cool,0.99,deep,mauve,0.487,matte,0.99,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",summer
bh-dark-rose,#831f39,BH,Color Lock Long Lasting Matte Lipstick,Dark Rose,lipstick,"{""r"":131,""g"":31,""b"":57}","{""h"":344.4,""s"":61.73,""l"":31.76}",29.6688,43.7451,9.6407,29.67,61.73,344.4,neutral,0.7833,deep,rose,0.6583,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bh-naked-peach,#ff9d85,BH,Creme Luxe Lipstick,Naked Peach,lipstick,"{""r"":255,""g"":157,""b"":133}","{""h"":11.8,""s"":100.0,""l"":76.08}",74.2361,34.0106,28.0318,74.24,100.0,11.8,warm,0.99,fair,peach,0.477,cream,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium""]",spring
bh-pop-culture,#bf346a,BH,Creme Luxe Lipstick,Pop Culture,lipstick,"{""r"":191,""g"":52,""b"":106}","{""h"":336.69,""s"":57.2,""l"":47.65}",45.0482,58.57,1.7028,45.05,57.2,336.69,cool,0.99,medium,berry,0.6881,cream,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bh-te-amo,#950d19,BH,Creme Luxe Lipstick,Te Amo,lipstick,"{""r"":149,""g"":13,""b"":25}","{""h"":354.71,""s"":83.95,""l"":31.76}",31.2303,52.143,32.9302,31.23,83.95,354.71,warm,0.99,deep,red,0.45,cream,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bh-tea-time,#d65b6c,BH,Creme Luxe Lipstick,Tea Time,lipstick,"{""r"":214,""g"":91,""b"":108}","{""h"":351.71,""s"":60.0,""l"":59.8}",54.9331,49.8224,15.0327,54.93,60.0,351.71,warm,0.99,medium,milk-tea,0.5357,cream,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
bh-sweet-mango,#c2322e,BH,Creme Luxe Lipstick,Sweet Mango,lipstick,"{""r"":194,""g"":50,""b"":46}","{""h"":1.62,""s"":61.67,""l"":47.06}",44.1633,56.1979,37.1359,44.16,61.67,1.62,warm,0.99,medium,red,0.65,cream,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-beetroot,#741b2d,BITE Beauty,Amuse Bouche Lipstick,Beetroot,lipstick,"{""r"":116,""g"":27,""b"":45}","{""h"":347.87,""s"":62.24,""l"":28.04}",25.8252,39.4683,11.962,25.83,62.24,347.87,cool,0.7,deep,red,0.45,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-black-truffle,#3c1e2a,BITE Beauty,Amuse Bouche Lipstick,Black Truffle,lipstick,"{""r"":60,""g"":30,""b"":42}","{""h"":336.0,""s"":33.33,""l"":17.65}",15.7814,16.4295,-1.6091,15.78,33.33,336.0,cool,0.99,deep,mauve,0.7227,satin,0.5088,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",summer
bite-beauty-cava,#bb8180,BITE Beauty,Amuse Bouche Lipstick,Cava,lipstick,"{""r"":187,""g"":129,""b"":128}","{""h"":1.02,""s"":30.26,""l"":61.76}",59.7311,22.2794,9.6059,59.73,30.26,1.02,neutral,0.99,light,rose,0.5198,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",summer
bite-beauty-cayenne,#d43227,BITE Beauty,Amuse Bouche Lipstick,Cayenne,lipstick,"{""r"":212,""g"":50,""b"":39}","{""h"":3.82,""s"":68.92,""l"":49.22}",47.5328,61.4448,45.4603,47.53,68.92,3.82,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-chai,#954641,BITE Beauty,Amuse Bouche Lipstick,Chai,lipstick,"{""r"":149,""g"":70,""b"":65}","{""h"":3.57,""s"":39.25,""l"":41.96}",39.8375,32.7265,18.7755,39.84,39.25,3.57,warm,0.99,deep,milk-tea,0.45,satin,0.5088,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",autumn
bite-beauty-cotton-candy,#f16395,BITE Beauty,Amuse Bouche Lipstick,Cotton Candy,lipstick,"{""r"":241,""g"":99,""b"":149}","{""h"":338.87,""s"":83.53,""l"":66.67}",61.4808,59.0635,0.9647,61.48,83.53,338.87,cool,0.99,light,pink,0.5611,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",summer
bite-beauty-dragonfruit,#ce487d,BITE Beauty,Amuse Bouche Lipstick,Dragonfruit,lipstick,"{""r"":206,""g"":72,""b"":125}","{""h"":336.27,""s"":57.76,""l"":54.51}",50.9678,57.267,-0.9192,50.97,57.76,336.27,cool,0.99,medium,berry,0.6881,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-eggplant,#9a3b67,BITE Beauty,Amuse Bouche Lipstick,Eggplant,lipstick,"{""r"":154,""g"":59,""b"":103}","{""h"":332.21,""s"":44.6,""l"":41.76}",39.5451,44.1569,-5.2627,39.55,44.6,332.21,cool,0.99,deep,mauve,0.487,satin,0.5088,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",summer
bite-beauty-fig,#d0626f,BITE Beauty,Amuse Bouche Lipstick,Fig,lipstick,"{""r"":208,""g"":98,""b"":111}","{""h"":352.91,""s"":53.92,""l"":60.0}",55.3765,44.6552,13.7432,55.38,53.92,352.91,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
bite-beauty-gazpacho,#b52323,BITE Beauty,Amuse Bouche Lipstick,Gazpacho,lipstick,"{""r"":181,""g"":35,""b"":35}","{""h"":0.0,""s"":67.59,""l"":42.35}",39.8327,56.5532,38.0068,39.83,67.59,0.0,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-gin-fizz,#dc5f81,BITE Beauty,Amuse Bouche Lipstick,Gin Fizz,lipstick,"{""r"":220,""g"":95,""b"":129}","{""h"":343.68,""s"":64.1,""l"":61.76}",57.0649,52.0204,5.82,57.06,64.1,343.68,cool,0.7,medium,berry,0.6881,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-gingersnap,#ea665a,BITE Beauty,Amuse Bouche Lipstick,Gingersnap,lipstick,"{""r"":234,""g"":102,""b"":90}","{""h"":5.0,""s"":77.42,""l"":63.53}",59.6517,50.2639,32.229,59.65,77.42,5.0,warm,0.99,light,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
bite-beauty-honeycomb,#bc7f6d,BITE Beauty,Amuse Bouche Lipstick,Honeycomb,lipstick,"{""r"":188,""g"":127,""b"":109}","{""h"":13.67,""s"":37.09,""l"":58.24}",58.9526,21.4354,19.3925,58.95,37.09,13.67,warm,0.99,light,rose,0.35,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
bite-beauty-jam,#59183a,BITE Beauty,Amuse Bouche Lipstick,Jam,lipstick,"{""r"":89,""g"":24,""b"":58}","{""h"":328.62,""s"":57.52,""l"":22.16}",20.374,33.1552,-5.515,20.37,57.52,328.62,cool,0.99,deep,rose,0.35,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
bite-beauty-kale,#243434,BITE Beauty,Amuse Bouche Lipstick,Kale,lipstick,"{""r"":36,""g"":52,""b"":52}","{""h"":180.0,""s"":18.18,""l"":17.25}",20.357,-6.5378,-2.1352,20.36,18.18,180.0,cool,0.6265,deep,rose,0.35,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
